Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
451,LE KERIA,rte DE LODEVE,34080,MONTPELLIER,0451 LEKERIARTEDELODEVE 34080 MONTPELLIER,3.8263944,43.615175,Hors QPV,Secteur Celleneuve,19970715,20370715,19970715,1,6,2,12,7,6,7
452,LE GARIBALDI,56 RUE LEJZER ZAMENHOF,34080,MONTPELLIER,0452 LEGARIBALDI56RUELEJZERZAMENHOF 34080 MONTPELLIER,3.8261083,43.615175,Hors QPV,Secteur Celleneuve,19971115,20371115,19971115,1,14,3,15,10,8,7
456,LE CLOS DE L'ERMITAGE,rue DE LA CROIX DE FIGUEROLLE,34000,MONTPELLIER,0456 LECLOSDELERMITAGERUEDELACROIXDEFIGUEROLLE 34000 MONTPELLIER,3.83955,43.604912,Hors QPV,Secteur Pas du Loup,19980515,20380515,19980515,1,12,7,13,14,5,3
458,LE CHATEAU D'EAU DE MASS,Rue Jean cavailles,34080,MONTPELLIER,0458 LECHATEAUDEAUDEMASSRUEJEANCAVAILLES 34080 MONTPELLIER,3.81704,43.643295,QPV,Secteur Belvedère,19981201,20381201,19991101,1,30,4,27,9,13,7
462,LE TILLEUL,all MARTELLE,34000,MONTPELLIER,0462 LETILLEULALLMARTELLE 34000 MONTPELLIER,3.839262,43.604885,Hors QPV,Secteur Pas du Loup,19980515,20380515,19980515,1,0,0,1,1,0,1
472,MARGUERITE YOURCENAR,rue COLIN,34000,MONTPELLIER,0472 MARGUERITEYOURCENARRUECOLIN 34000 MONTPELLIER,3.878454391,43.60107419,Hors QPV,Secteur Gare,19990315,20390315,19990315,1,19,15,22,24,7,3
476,LE MAS SAINT LUC,PlACE DES ILES MARQUISES,34070,MONTPELLIER,0476 LEMASSAINTLUCPLACEDESILESMARQUISES 34070 MONTPELLIER,3.842738,43.59549,Hors QPV,Secteur Val De Croze,19930922,20330922,19930922,1,1,1,0,3,2,0
489,JULES LATREILHE,rue JULES LATREILHE,34000,MONTPELLIER,0489 JULESLATREILHERUEJULESLATREILHE 34000 MONTPELLIER,3.876366793,43.60813847,Hors QPV,Secteur Beaux Arts,19000101,19400101,19920115,1,0,1,4,1,0,1
495,CHARLES DIDION,RUE CHARLES DIDION,34000,MONTPELLIER,0495 CHARLESDIDIONRUECHARLESDIDION 34000 MONTPELLIER,3.878620266,43.60139395,Hors QPV,Secteur Gare,19990315,20390315,19990315,1,27,10,27,20,9,4
498,SIMONE DE BEAUVOIR,rue COLIN,34000,MONTPELLIER,0498 SIMONEDEBEAUVOIRRUECOLIN 34000 MONTPELLIER,3.878315482,43.60085481,Hors QPV,Secteur Gare,19990501,20390501,19990501,1,8,7,11,7,3,0
